-7413210"air resistance"

8183000 "gravity"
-7621290"air resistance"

8183000 "gravity"
-7447690"air resistance"

8183000 "gravity"
-7638760"air resistance"

8183000 "gravity"
-7482250"air resistance"

8183000 "gravity"
-7656250"air resistance"

8183000 "gravity"
-7516890"air resistance"

8183000 "gravity"
-7673760"air resistance"

8183000 "gravity"
-7551610"air resistance"

8183000 "gravity"
7691290"air resistance"

8183000 "gravity"
-7586410"air resistance"

8183000 "gravity"
6789760"air resistance"

8183000 "gravity"
-7621290"air resistance"

8183000 "gravity"
5990760"air resistance"

8183000 "gravity"
-7656250"air resistance"

8183000 "gravity"
5227290"air resistance"

8183000 "gravity"
-7673760"air resistance"

8183000 "gravity"
4596840"air resistance"

8183000 "gravity"
-7691290"air resistance"

8183000 "gravity"
4032250"air resistance"

8183000 "gravity"
7708840"air resistance"

8183000 "gravity"
3528360"air resistance"

8183000 "gravity"
6789760"air resistance"

8183000 "gravity"
3080250"air resistance"

8183000 "gravity"
5944410"air resistance"

8183000 "gravity"
2652250"air resistance"

8183000 "gravity"
5270760"air resistance"

8183000 "gravity"
2294410"air resistance"

8183000 "gravity"
4596840"air resistance"

8183000 "gravity"
1971360"air resistance"

8183000 "gravity"
4032250"air resistance"

8183000 "gravity"
1681000"air resistance"

8183000 "gravity"
3528360"air resistance"

8183000 "gravity"
1421290"air resistance"

8183000 "gravity"
3080250"air resistance"

8183000 "gravity"
1190250"air resistance"

8183000 "gravity"
2672890"air resistance"

8183000 "gravity"
985960"air resistance"

8183000 "gravity"
2313610"air resistance"

8183000 "gravity"
800890"air resistance"

8183000 "gravity"
1989160"air resistance"

8183000 "gravity"
640090"air resistance"

8183000 "gravity"
1697440"air resistance"

8183000 "gravity"
501760"air resistance"

8183000 "gravity"
1436410"air resistance"

8183000 "gravity"
380250"air resistance"

8183000 "gravity"
1204090"air resistance"

8183000 "gravity"
275560"air resistance"

8183000 "gravity"
998560"air resistance"

8183000 "gravity"
190440"air resistance"

8183000 "gravity"
812250"air resistance"

8183000 "gravity"
121000"air resistance"

8183000 "gravity"
650250"air resistance"

8183000 "gravity"
67240"air resistance"

8183000 "gravity"
506250"air resistance"

8183000 "gravity"
29160"air resistance"

8183000 "gravity"
384160"air resistance"

8183000 "gravity"
7290"air resistance"

8183000 "gravity"
278890"air resistance"

8183000 "gravity"
0"air resistance"

8183000 "gravity"
193210"air resistance"

8183000 "gravity"
-7290"air resistance"

8183000 "gravity"
127690"air resistance"

8183000 "gravity"
-29160"air resistance"

8183000 "gravity"
72250"air resistance"

8183000 "gravity"
-65610"air resistance"

8183000 "gravity"
32490"air resistance"

8183000 "gravity"
-112360"air resistance"

8183000 "gravity"
9000"air resistance"

8183000 "gravity"
-176890"air resistance"

8183000 "gravity"
90"air resistance"

8183000 "gravity"
-256000"air resistance"

8183000 "gravity"
-5760"air resistance"

8183000 "gravity"
-345960"air resistance"

8183000 "gravity"
-26010"air resistance"

8183000 "gravity"
-449440"air resistance"

8183000 "gravity"
-60840"air resistance"

8183000 "gravity"
-566440"air resistance"

8183000 "gravity"
-110250"air resistance"

8183000 "gravity"
-691690"air resistance"

8183000 "gravity"
-174240"air resistance"

8183000 "gravity"
-829440"air resistance"

8183000 "gravity"
-252810"air resistance"

8183000 "gravity"
-973440"air resistance"

8183000 "gravity"
-342250"air resistance"

8183000 "gravity"
-1128960"air resistance"

8183000 "gravity"
-445210"air resistance"

8183000 "gravity"
-1288810"air resistance"

8183000 "gravity"
-561690"air resistance"

8183000 "gravity"
-1459240"air resistance"

8183000 "gravity"
-686440"air resistance"

8183000 "gravity"
-1632160"air resistance"

8183000 "gravity"
-823690"air resistance"

8183000 "gravity"
-1814760"air resistance"

8183000 "gravity"
-973440"air resistance"

8183000 "gravity"
-1998090"air resistance"

8183000 "gravity"
-1128960"air resistance"

8183000 "gravity"
-2199610"air resistance"

8183000 "gravity"
-1288810"air resistance"

8183000 "gravity"
-2381440"air resistance"

8183000 "gravity"
-1451610"air resistance"

8183000 "gravity"
-2570490"air resistance"

8183000 "gravity"
-1640250"air resistance"

8183000 "gravity"
-2777290"air resistance"

8183000 "gravity"
-1831840"air resistance"

8183000 "gravity"
-2970250"air resistance"

8183000 "gravity"
-2016010"air resistance"

8183000 "gravity"
-3158440"air resistance"

8183000 "gravity"
-2199610"air resistance"

8183000 "gravity"
-3352410"air resistance"

8183000 "gravity"
-2391210"air resistance"

8183000 "gravity"
-3540250"air resistance"

8183000 "gravity"
-2580640"air resistance"

8183000 "gravity"
-3721000"air resistance"

8183000 "gravity"
-2777290"air resistance"

8183000 "gravity"
-3906250"air resistance"

8183000 "gravity"
-2970250"air resistance"

8183000 "gravity"
4096000"air resistance"

8183000 "gravity"
-3158440"air resistance"

8183000 "gravity"
3588010"air resistance"

8183000 "gravity"
-3352410"air resistance"

8183000 "gravity"
3124810"air resistance"

8183000 "gravity"
-3540250"air resistance"

8183000 "gravity"
2735290"air resistance"

8183000 "gravity"
-3721000"air resistance"

